category,fraction,average_dot_product,variance,second_best_category
image of dog,0.6068335588633288,0.24627359,0.00019238766,picture of dog
image of cat,0.08897158322056833,0.25302827,0.00015636487,picture of cat
cool picture of cat,0.0010825439783491205,0.2565379,0.000505507,image of cat
image of cats,0.0017591339648173206,0.26855925,0.00014603138,picture of cats
moving picture of dog,0.0035859269282814614,0.26195616,9.5740805e-05,image of dog
picture of dog,0.002774018944519621,0.26584008,0.0002275153,image of dog
moving dog,0.0010148849797023004,0.26347563,0.00019861062,image of dog
image of cool dog,0.011299052774018945,0.2695399,0.00010541242,image of dog
moving cat,0.0034506089309878215,0.27337536,0.0001375161,image of cat
image of nice dog,0.039918809201623814,0.26850882,0.00010685678,image of dog
sitting cat,0.036400541271989176,0.27521718,8.44764e-05,image of nice cat
cool picture of dog,0.0040595399188092015,0.26953283,8.2627936e-05,image of cool dog
sitting dog,0.06705006765899865,0.2694617,0.0001040169,image of dog
image of nice cat,0.06732070365358593,0.27337325,6.4347616e-05,image of cat
funny image of cat,0.005209742895805142,0.2740111,7.846758e-05,funny cat
cat picture,0.0013531799729364006,0.26939967,5.7828427e-05,picture of cat
dog picture,0.002165087956698241,0.2637254,8.574128e-05,image of dog
nice cat,0.005142083897158322,0.2686621,9.01034e-05,image of nice cat
nice dog,0.0018267929634641408,0.2578855,9.243135e-05,image of dog
dog image,0.004533152909336942,0.26211292,6.505624e-05,image of dog
cat image,0.005886332882273342,0.26411113,8.571011e-05,image of cat
funny cat,0.005277401894451962,0.27379858,8.116624e-05,funny image of cat
funny dog,0.0060216508795669825,0.26698825,9.537815e-05,funny image of dog
cool dog,0.0008119079837618403,0.267287,0.00012958546,image of cool dog
cool cat,0.0008119079837618403,0.2643905,0.00012293458,image of cool cat
funny image of dog,0.013802435723951286,0.27033007,9.689612e-05,funny dog
image of cool cat,0.003924221921515561,0.2684422,0.00010570164,image of nice cat
image of dogs,0.004939106901217862,0.26573232,0.00011199141,image of dog
moving picture of cat,0.0009472259810554803,0.27035177,2.6038715e-05,cat image
picture of cat,0.0012855209742895805,0.27345896,5.686283e-05,image of cat
dog,0.00047361299052774017,0.2589544,5.0110477e-05,dog image
dogs,6.765899864682003e-05,0.24945012,0.0,sitting dog
