category,fraction,average_dot_product,variance,second_best_category
image of dog,0.5842354533152909,0.2456544,0.00018671033,picture of dog
image of cat,0.08619756427604872,0.25253788,0.00015192915,picture of cat
cool picture of cat,0.0006765899864682003,0.25117293,0.0006970942,image of cat
image of cats,0.0014208389715832206,0.26999298,0.00014614491,picture of cats
moving picture of dog,0.0020297699594046007,0.26088804,0.00012070338,image of dog
picture of dog,0.0019621109607577806,0.2656157,0.00029956884,image of dog
moving dog,0.0008795669824086603,0.2636061,0.00022854254,image of dog
amazing dog,0.02645466847090663,0.26678497,0.00010188949,image of dog
image of cool dog,0.008592692828146143,0.2702505,0.00011950215,image of dog
moving cat,0.002638700947225981,0.27633727,0.00012990755,amazing cat
sitting cat,0.031529093369418136,0.27558944,8.786901e-05,image of nice cat
amazing picture of dog,0.0022327469553450607,0.27159163,6.305088e-05,amazing image of dog
cool picture of dog,0.002368064952638701,0.27100074,9.457724e-05,amazing picture of dog
sitting dog,0.05751014884979702,0.27023086,0.00010199154,image of dog
image of nice cat,0.040392422192151556,0.2740352,6.308628e-05,image of cat
amazing cat,0.03944519621109607,0.27465862,7.481518e-05,image of nice cat
funny picture of cat,0.002638700947225981,0.27884182,8.308582e-05,funny image of cat
cat picture,0.0009472259810554803,0.27050278,4.1476316e-05,picture of cat
dog picture,0.0015561569688768606,0.26607385,7.070148e-05,image of dog
image of nice dog,0.02557510148849797,0.27001327,0.00010129636,image of dog
dog image,0.0040595399188092015,0.2621705,6.90937e-05,image of dog
cute dog,0.013261163734776725,0.2676763,8.314483e-05,adorable dog
funny cat,0.0033829499323410014,0.27407792,6.769657e-05,funny picture of cat
adorable dog,0.011705006765899865,0.26949596,8.15364e-05,cute dog
funny dog,0.0042625169147496615,0.26748672,6.7650326e-05,funny image of dog
cool cat,0.00047361299052774017,0.2639784,0.00013797198,image of cool cat
adorable cat,0.002300405953991881,0.2777978,0.00012291179,cute cat
funny image of dog,0.009607577807848443,0.26938322,8.2378654e-05,funny picture of dog
cat image,0.003924221921515561,0.26403153,9.115811e-05,image of cat
funny picture of dog,0.004533152909336942,0.27500874,0.00010804988,funny image of dog
image of cool cat,0.0033829499323410014,0.26882163,0.000109291075,image of nice cat
nice cat,0.0010148849797023004,0.2721115,9.961128e-05,amazing cat
image of dogs,0.0044654939106901215,0.26675949,9.901596e-05,image of dog
cute cat,0.0037212449255751017,0.27673778,7.124814e-05,adorable cat
nice dog,0.0006089309878213803,0.25726637,0.00010098351,image of dog
moving picture of cat,0.00040595399188092014,0.2690664,1.0376175e-05,cat image
cute image of dog,0.003247631935047361,0.265659,0.0001215438,image of dog
cool dog,0.00047361299052774017,0.26793912,0.00011005572,image of cool dog
amazing image of dog,0.0010148849797023004,0.26779985,0.00011894703,amazing picture of dog
funny image of cat,0.002841677943166441,0.27197742,8.365086e-05,funny picture of cat
picture of cat,0.0008119079837618403,0.27370965,4.8160553e-05,image of cat
cute image of cat,0.00033829499323410016,0.26402113,8.922815e-06,cat image
cute picture of dog,0.00020297699594046007,0.27725753,5.2253404e-06,cute image of dog
amazing image of cat,0.00027063599458728013,0.2744501,2.8654933e-05,amazing cat
dog,0.00033829499323410016,0.2617229,3.0118226e-05,dog image
amazing picture of cat,6.765899864682003e-05,0.2845218,0.0,amazing cat
