category,fraction,average_dot_product,variance,second_best_category
image of dog,0.5832882273342355,0.24562663,0.00018645423,picture of dog
image of cat,0.08619756427604872,0.25253788,0.00015192915,picture of cat
cool picture of cat,0.0006765899864682003,0.25117293,0.0006970942,image of cat
image of cats,0.0014208389715832206,0.26999298,0.00014614491,picture of cats
moving picture of dog,0.0018944519621109607,0.26093918,0.00012233427,image of dog
picture of dog,0.0019621109607577806,0.2656157,0.00029956884,image of dog
moving dog,0.0008795669824086603,0.2636061,0.00022854713,image of dog
amazing dog,0.02598105548037889,0.2667478,0.00010262927,image of dog
image of cool dog,0.008592692828146143,0.2702505,0.00011950215,image of dog
moving cat,0.002638700947225981,0.27633727,0.00012990755,amazing cat
sitting cat,0.031529093369418136,0.27558944,8.786901e-05,image of nice cat
amazing picture of dog,0.0022327469553450607,0.2715916,6.305088e-05,amazing image of dog
cool picture of dog,0.0022327469553450607,0.27177987,8.950812e-05,amazing picture of dog
sitting dog,0.05723951285520974,0.27025232,0.0001023881,image of dog
image of nice cat,0.04032476319350474,0.27405393,6.298091e-05,image of cat
amazing cat,0.03944519621109607,0.27465862,7.481518e-05,image of nice cat
funny picture of cat,0.002638700947225981,0.27884182,8.308582e-05,funny image of cat
cat picture,0.0008795669824086603,0.27067113,4.4272496e-05,picture of cat
dog picture,0.0015561569688768606,0.26607385,7.066519e-05,image of dog
image of nice dog,0.02550744248985115,0.27001444,0.00010157517,image of dog
dog image,0.0040595399188092015,0.2621705,6.90937e-05,image of dog
cute dog,0.012990527740189444,0.26782048,8.375943e-05,adorable dog
funny cat,0.0033829499323410014,0.27407792,6.769657e-05,funny picture of cat
adorable dog,0.010554803788903925,0.26955834,7.961958e-05,cute dog
funny dog,0.0042625169147496615,0.26748672,6.7650326e-05,funny image of dog
cool cat,0.00047361299052774017,0.2639784,0.00013797198,image of cool cat
adorable cat,0.002097428958051421,0.27909312,0.00011046471,cute cat
funny image of dog,0.009607577807848443,0.26938322,8.2378654e-05,funny picture of dog
cat image,0.0038565629228687415,0.26411977,9.230145e-05,image of cat
funny picture of dog,0.004397834912043302,0.27577838,8.745927e-05,funny image of dog
image of cool cat,0.0033829499323410014,0.26882163,0.000109291075,image of nice cat
nice cat,0.0010148849797023004,0.2721115,9.961128e-05,amazing cat
image of dogs,0.0044654939106901215,0.26675946,9.903041e-05,image of dog
adorable picture of dog,0.0015561569688768606,0.26933032,7.034385e-05,adorable dog
cute cat,0.0035859269282814614,0.2771647,6.826869e-05,adorable cat
nice dog,0.0006089309878213803,0.25726637,0.00010098351,image of dog
adorable image of dog,0.004194857916102842,0.26561794,0.00011061084,cute image of dog
moving picture of cat,0.00040595399188092014,0.2690664,1.0376175e-05,cat image
cute image of dog,0.0012855209742895805,0.2679907,7.404152e-05,adorable image of dog
cool dog,0.00047361299052774017,0.26793912,0.00011005572,image of cool dog
amazing image of dog,0.0009472259810554803,0.2676972,0.00012728998,amazing picture of dog
funny image of cat,0.002774018944519621,0.27229708,8.1382146e-05,funny picture of cat
adorable picture of cat,0.00020297699594046007,0.26846707,1.1930863e-05,adorable image of cat
picture of cat,0.0008119079837618403,0.27370965,4.8160553e-05,image of cat
adorable image of cat,0.0006089309878213803,0.26410744,2.396769e-05,cute image of cat
amazing image of cat,0.00027063599458728013,0.2744501,2.8654933e-05,amazing cat
cute image of cat,0.00013531799729364006,0.26251566,1.6003847e-05,cute cat
cute picture of dog,6.765899864682003e-05,0.2764059,0.0,cute image of dog
dog,0.00033829499323410016,0.2617229,3.0118226e-05,dog image
amazing picture of cat,6.765899864682003e-05,0.2845218,0.0,amazing cat
